Mission,Orb. phase,Exposure time [s]
TESS,0.0021066133860896084,120
CHEOPS,0.0021071265695894936,10
CHEOPS,0.0021141563136345444,10
CHEOPS,0.002120558289900571,10
CHEOPS,0.002123797701205859,10
CHEOPS,0.0021308292518321427,10
TESS,0.002133652767382453,120
CHEOPS,0.0021372292876961044,10
TESS,0.0021398940124894537,120
CHEOPS,0.0021404672938826557,10
CHEOPS,0.0021475004503589243,10
CHEOPS,0.0021539020251624547,10
CHEOPS,0.0021571383585886053,10
TESS,0.002162327791346679,120
CHEOPS,0.0021641733216461066,10
CHEOPS,0.0021705746957183885,10
CHEOPS,0.002173807884354986,10
TESS,0.002175087394612626,120
TESS,0.0021764664553061697,120
CHEOPS,0.0021808461929332884,10
CHEOPS,0.002187245827334754,10
CHEOPS,0.0021904790159713514,10
CHEOPS,0.00219751739146007,10
CHEOPS,0.0022039184978906883,10
CHEOPS,0.002207150214498133,10
CHEOPS,0.0022141903296576683,10
TESS,0.0022163703924164622,120
CHEOPS,0.0022205912353570386,10
CHEOPS,0.0022238213461144986,10
CHEOPS,0.0022308631340344346,10
TESS,0.0022331235191837147,120
CHEOPS,0.0022372639059129724,10
CHEOPS,0.002240492477730864,10
CHEOPS,0.0022475344663820482,10
CHEOPS,0.0022539367102897387,10
CHEOPS,0.0022571636093472293,10
CHEOPS,0.0022642072707588145,10
CHEOPS,0.0022706077080852723,10
CHEOPS,0.0022738332020240263,10
TESS,0.0022797830541087523,120
CHEOPS,0.0022808785361960117,10
CHEOPS,0.0022872804455516225,10
TESS,0.0022892927814489577,120
CHEOPS,0.0022905042667299754,10
CHEOPS,0.002297551407483194,10
CHEOPS,0.0023039530491971404,10
TESS,0.0023061815304176963,120
CHEOPS,0.0023071737924963563,10
CHEOPS,0.002314226018441193,10
CHEOPS,0.002320624247723922,10
CHEOPS,0.002323844924112722,10
CHEOPS,0.0023308970831471426,10
TESS,0.002333222985933438,120
CHEOPS,0.0023372969851902722,10
TESS,0.002339460818609221,120
CHEOPS,0.0023405161226395035,10
CHEOPS,0.002347570021344741,10
CHEOPS,0.0023539696557462065,10
CHEOPS,0.002357185581495468,10
TESS,0.0023618917872289735,120
CHEOPS,0.002364242892631923,10
CHEOPS,0.0023706407204521556,10
CHEOPS,0.0023738566462014176,10
TESS,0.002374650186107432,120
TESS,0.002376035201828002,120
CHEOPS,0.0023809141580691208,10
CHEOPS,0.002387313457918506,10
CHEOPS,0.0023905278447281988,10
CHEOPS,0.002397587029356303,10
CHEOPS,0.0024039844557140395,10
CHEOPS,0.0024071974374049957,10
CHEOPS,0.002414259900643485,10
TESS,0.002415944692502825,120
CHEOPS,0.0024238685021109453,10
CHEOPS,0.0024309311660806825,10
TESS,0.002432692600257627,120
CHEOPS,0.002440538027877326,10
CHEOPS,0.002447604037367865,10
CHEOPS,0.0024572092264041074,10
CHEOPS,0.0024642752358946464,10
CHEOPS,0.002473880358020473,10
TESS,0.0024793559490763786,120
CHEOPS,0.0024809480402714127,10
TESS,0.0024888577140770763,120
CHEOPS,0.0024905498168764375,10
CHEOPS,0.002497621045379427,10
TESS,0.0025057497416562003,120
CHEOPS,0.002507220948492803,10
CHEOPS,0.002514292243906208,10
CHEOPS,0.0025238904073487676,10
CHEOPS,0.0025309650482829744,10
TESS,0.002532793204484423,120
TESS,0.0025390276247289887,120
CHEOPS,0.002540561672785965,10
CHEOPS,0.0025476380533909888,10
CHEOPS,0.0025572327374919148,10
TESS,0.0025614558500216835,120
CHEOPS,0.0025643091850073543,10
CHEOPS,0.0025739039360186964,10
TESS,0.002574212910691821,120
TESS,0.0025756040821706665,120
CHEOPS,0.0025809821232049526,10
CHEOPS,0.0025905752014558935,10
CHEOPS,0.002597654994492135,10
CHEOPS,0.002607246266161843,10
CHEOPS,0.0026143261930189165,10
TESS,0.002615518992589188,120
CHEOPS,0.002623915725017808,10
CHEOPS,0.0026309990643060984,10
TESS,0.0026322616813315397,120
CHEOPS,0.0026405869904550052,10
CHEOPS,0.002647670329743296,10
CHEOPS,0.002657258055160955,10
CHEOPS,0.002664344806880463,10
CHEOPS,0.0026739275809273357,10
TESS,0.0026789289109544205,120
CHEOPS,0.0026810177450780613,10
TESS,0.002688422646705195,120
CHEOPS,0.002690598645633285,10
CHEOPS,0.002697688943604843,10
TESS,0.0027053178859842886,120
CHEOPS,0.002707268171399666,10
CHEOPS,0.002714361814892025,10
CHEOPS,0.002720757769220609,10
CHEOPS,0.0027239393699264474,10
CHEOPS,0.0027310346192687914,10
TESS,0.002732363423035408,120
CHEOPS,0.002737428833926558,10
TESS,0.002738594497759172,120
CHEOPS,0.0027406105015428126,10
CHEOPS,0.002747705951616405,10
CHEOPS,0.0027541015713929084,10
CHEOPS,0.0027572800273091935,10
TESS,0.002761019845903978,120
CHEOPS,0.002764378822903587,10
CHEOPS,0.002770772569188442,10
TESS,0.002773775702186627,120
CHEOPS,0.002773951225835975,10
TESS,0.002775172895602915,120
CHEOPS,0.002781051694190769,10
CHEOPS,0.0027874453735652082,10
CHEOPS,0.0027906206177815236,10
CHEOPS,0.002797722892717551,10
CHEOPS,0.002804118044121142,10
CHEOPS,0.002807291816308305,10
CHEOPS,0.002814395830915149,10
TESS,0.0028150932257651347,120
CHEOPS,0.0028207891088270916,10
CHEOPS,0.002823962947924671,10
CHEOPS,0.0028310668956210987,10
TESS,0.002831830762405452,120
CHEOPS,0.002837461779383026,10
CHEOPS,0.0028406324736910513,10
CHEOPS,0.002847739900729113,10
CHEOPS,0.002854134583759792,10
CHEOPS,0.002857303538397001,10
CHEOPS,0.0028644127051058793,10
CHEOPS,0.0028708055815553253,10
CHEOPS,0.002873974736923782,10
TESS,0.002878501872832463,120
CHEOPS,0.0028810840374534925,10
CHEOPS,0.0028874783190216756,10
TESS,0.0028879875793333134,120
CHEOPS,0.002890644262690163,10
CHEOPS,0.0028977568418302587,10
CHEOPS,0.002904149383727625,10
TESS,0.0029048859634019605,120
CHEOPS,0.0029073154612169446,10
CHEOPS,0.002914429780027857,10
CHEOPS,0.0029208221211939754,10
CHEOPS,0.002923984920072909,10
CHEOPS,0.0029311009785546386,10
TESS,0.0029319336415863932,120
CHEOPS,0.0029374964645103104,10
TESS,0.0029381613038789393,120
CHEOPS,0.0029406577244496753,10
CHEOPS,0.002947773849841821,10
CHEOPS,0.0029541675292162595,10
CHEOPS,0.002957328856066041,10
TESS,0.002960583908696688,120
CHEOPS,0.0029644451152790185,10
CHEOPS,0.0029708401997721938,10
TESS,0.002973338426771017,120
CHEOPS,0.002973998448742838,10
TESS,0.002974741709035163,120
CHEOPS,0.0029811179196557844,10
CHEOPS,0.00298751300414896,10
CHEOPS,0.002990669513448787,10
CHEOPS,0.0029977908578533827,10
CHEOPS,0.003004184068854909,10
CHEOPS,0.0030073406450651526,10
CHEOPS,0.003014463662230149,10
TESS,0.0030146675258514977,120
CHEOPS,0.0030208567394108435,10
CHEOPS,0.003024010170831533,10
CHEOPS,0.0030311366673381633,10
TESS,0.0030313998434793646,120
CHEOPS,0.0030375294099667777,10
CHEOPS,0.0030406813693583147,10
CHEOPS,0.0030478094717149296,10
CHEOPS,0.0030542005415831433,10
CHEOPS,0.0030573508282142796,10
CHEOPS,0.003064480737152127,10
CHEOPS,0.003070873212139077,10
CHEOPS,0.003074021959830645,10
TESS,0.0030780748347105052,120
CHEOPS,0.0030811536753497255,10
CHEOPS,0.0030875443437554427,10
TESS,0.003087552445051016,120
CHEOPS,0.0030906930245365944,10
CHEOPS,0.0030978264128160757,10
CHEOPS,0.003104217014311377,10
TESS,0.0031044541746404644,120
CHEOPS,0.0031073626172133913,10
CHEOPS,0.003114497678253273,10
CHEOPS,0.0031208897517777273,10
CHEOPS,0.0031240338157401725,10
CHEOPS,0.003131170616450871,10
TESS,0.003131503927047794,120
CHEOPS,0.0031375608164836764,10
TESS,0.003137728109998707,120
CHEOPS,0.003140704880446122,10
CHEOPS,0.003147841814977653,10
CHEOPS,0.0031542335539500267,10
CHEOPS,0.003157374406212503,10
TESS,0.0031601479045789823,120
CHEOPS,0.003164514686264835,10
CHEOPS,0.003170906224505961,10
TESS,0.003172901218265822,120
CHEOPS,0.003174045604739284,10
TESS,0.0031743105224674114,120
CHEOPS,0.0031811876244624334,10
CHEOPS,0.00318757728921191,10
CHEOPS,0.003190715063595249,10
CHEOPS,0.003197858756078799,10
CHEOPS,0.0032042498928574283,10
CHEOPS,0.0032073861952116147,10
TESS,0.0032142418259378603,120
CHEOPS,0.003214531627365981,10
CHEOPS,0.0032209227641446106,10
CHEOPS,0.003224057393738396,10
TESS,0.003230968924553277,120
CHEOPS,0.003231204565563579,10
CHEOPS,0.003237593761940144,10
CHEOPS,0.0032407267856839448,10
CHEOPS,0.0032478756971799447,10
CHEOPS,0.003254266499406494,10
CHEOPS,0.0032573980511211424,10
CHEOPS,0.003264548635377543,10
CHEOPS,0.0032709375641124436,10
CHEOPS,0.003274067443066691,10
TESS,0.0032776477965885476,120
CHEOPS,0.0032812199008147407,10
TESS,0.0032871173776791345,120
CHEOPS,0.003287610301578794,10
CHEOPS,0.003290740314353873,10
CHEOPS,0.003297892772101923,10
TESS,0.0033040223189685527,120
CHEOPS,0.003304284644895129,10
CHEOPS,0.0033074115797910707,10
CHEOPS,0.0033145656433891052,10
CHEOPS,0.0033209557096010784,10
CHEOPS,0.003324080971736619,10
TESS,0.003331074145598779,120
CHEOPS,0.0033312369088263024,10
TESS,0.0033372949161184742,120
CHEOPS,0.0033376283801570122,10
CHEOPS,0.003340752103352985,10
CHEOPS,0.0033479097132030687,10
CHEOPS,0.0033543011845337785,10
CHEOPS,0.0033574233018797664,10
TESS,0.0033597119004612763,120
CHEOPS,0.003364582517579835,10
CHEOPS,0.003370972182329312,10
TESS,0.003372463942850212,120
TESS,0.00337387933589966,120
CHEOPS,0.003374092760735731,10
CHEOPS,0.0033812555226878493,10
CHEOPS,0.0033876449197956624,10
CHEOPS,0.0033907639592625125,10
CHEOPS,0.0033979283270646156,10
CHEOPS,0.0034043159845016115,10
CHEOPS,0.003407435090878878,10
TESS,0.0034138161260242232,120
CHEOPS,0.003414601265262214,10
CHEOPS,0.003420988721967962,10
CHEOPS,0.0034228220303480173,10
CHEOPS,0.0034241046166452586,10
TESS,0.0034305379387167736,120
CHEOPS,0.0034312724637889955,10
CHEOPS,0.003437661392523896,10
CHEOPS,0.0034394942325310395,10
CHEOPS,0.00344077581517204,10
CHEOPS,0.0034479454019865938,10
CHEOPS,0.003454332457229845,10
CHEOPS,0.0034561648288640766,10
CHEOPS,0.0034574452071175887,10
CHEOPS,0.003464616600513375,10
CHEOPS,0.0034710051277857795,10
CHEOPS,0.0034728370310470984,10
CHEOPS,0.0034741164056443703,10
